Name,Platform,Location,Environment,Module,Description,Cores,Memory,Prov Total (GB),Used Total (GB),Prov,Used,Available (GB),Used (GB),Logs (GB),Cluster/Blade,,,,,,,,
na-fldi-00202,Appliance,DISC,Env2,Media,Env2 - Media - Elemental Appliance,,,,,,,,,,,,,,,,,,
na-fldi-00203,Appliance,DISC,Env4,Media,Env4 - Media - Elemental Appliance,,,,,,,,,,,,,,,,,,
nge-a1-lhn1,Appliance,DISC,Load2,Media,Load2 - Media - NAS Head Cluster Node #1,,,,,,,,,,,,,,,,,,
nge-a2-lhn1,Appliance,DISC,Load2,Media,Load2 - Media - NAS Head Cluster Node #2,,,,,,,,,,,,,,,,,,
na-fldi-00nh3,Appliance,DISC,Prod,Shared,Prod - Shared - p4000 NAS Controller,4,6,,,,,,,,nge-p1-c7kb14,,,,,,,,
na-fldi-00nh4,Appliance,DISC,Prod,Shared,Prod - Shared - p4000 NAS Controller,4,6,,,,,,,,nge-p2-c7kb14,,,,,,,,
na-fldi-00nh5,Appliance,DISC,INFRA,Shared,INFRA - Shared - p4000 NAS Controller,4,6,,,,,,,,nge-l5-c7kb14,,,,,,,,
na-fldi-00nh6,Appliance,DISC,INFRA,Shared,INFRA - Shared - p4000 NAS Controller,4,6,,,,,,,,nge-l6-c7kb14,,,,,,,,
nl-flak-00001,Linux,Animal Kingdom,Prod,Shared,Prod - Shared - AK Oracle RAC Node #1 (ngelnx20-scan),12,96,,,,,,,,nge-c1-c7kb01,,,,,,,,
nl-flak-00002,Linux,Animal Kingdom,Prod,Shared,Prod - Shared - AK Oracle RAC Node #2 (ngelnx20-scan),12,96,,,,,,,,nge-c2-c7kb01,,,,,,,,
nl-flak-00003,Linux,Animal Kingdom,Prod,Shared,Prod - Shared - AK Oracle RAC Node #3 (ngelnx20-scan),12,96,,,,,,,,nge-c1-c7kb09,,,,,,,,
nl-flak-00004,Linux,Animal Kingdom,Prod,Shared,Prod - Shared - AK Oracle RAC Node #4 (ngelnx20-scan),12,96,,,,,,,,nge-c2-c7kb09,,,,,,,,
nl-fldi-00171,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Core RAC Node #1,20,512,,,,,,,,nge-p1-c7kb01,,,,,,,,
nl-fldi-00172,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Core RAC Node #2,20,512,,,,,,,,nge-p2-c7kb01,,,,,,,,
nl-fldi-00205,Linux,DISC,Load1,XI,Load1 - XI - Informatica,12,96,,,,,,,,nge-l8-c7kb15,,,,,,,,
nl-fldi-00206,Linux,DISC,Load1,XI,Load1 - XI - Informatica,12,96,,,,,,,,nge-l7-c7kb15,,,,,,,,
nl-fldi-00207,Linux,DISC,Load1,XI,Load1 - XI - Informatica,12,96,,,,,,,,nge-l8-c7kb14,,,,,,,,
nl-fldi-00280,Linux,DISC,Load1,Shared,Load1 - Shared - Oracle Load/Stress Environment RAC #1,20,512,,,,,,,,nge-l5-c7kb01,,,,,,,,
nl-fldi-00281,Linux,DISC,Load1,Shared,Load1 - Shared - Oracle Load/Stress Environment RAC #2,20,512,,,,,,,,nge-l6-c7kb02,,,,,,,,
nl-fldi-00282,Linux,DISC,Load1,Shared,Load1 - Shared - Oracle Load/Stress Environment RAC #3,20,512,,,,,,,,nge-l7-c7kb01,,,,,,,,
nl-fldi-00283,Linux,DISC,Load1,Shared,Load1 - Shared - Oracle Load/Stress Environment RAC #4,20,512,,,,,,,,nge-l8-c7kb01,,,,,,,,
